n1,n2,nt1,nt2,s1,s2,ri1,ri2,phi,tetha,psi,l,w,h,M
9,5,6,7,0.00194177795782544,0.00199530131566779,0.0383378267290697,0.0489836024805402,-0.0567888774743865,-0.176714482077307,0.903864797482171,0.0184846339605427,0.00531121272694162,0.101452887831327,193.835348485483
10,9,15,11,0.00182503739181921,0.00136831176768459,0.0346057305828365,0.0533599375487592,-0.124694816264862,0.20397837897468,0.411835340782066,-0.0154325159710945,-0.0315891234691178,0.0962381631844595,1171.97600621354
4,8,6,5,0.00254226806449316,0.00269661580922903,0.0691825421216028,0.0760915180747023,0.0956025572565483,0.162840935639655,-0.280317281068119,0.0608322149297438,0.0609961039483366,0.0878319258899877,306.154402937573
5,4,11,9,0.00227581176000544,0.00136759135672322,0.0745949932944777,0.0695569009440299,0.1668249802352,0.178117451283378,-0.384487722745233,-0.0466014866418698,-0.0466165028764153,0.0627176046406479,2090.5220296384
6,6,14,9,0.00299421464368417,0.00263511493836268,0.0676219139568868,0.0535885258520172,-0.206565794090676,0.247288152129696,0.206818112238586,-0.0246959285214549,0.0554160892041704,0.0838483351646324,2184.4262415457
4,5,5,7,0.00269134263235583,0.00195669071067913,0.0576406101952317,0.0333584442023963,0.061214304575936,-0.234248621126266,-0.363143018030937,-0.0146712121786982,0.0277539385224885,0.105264840034133,114.476752790875
7,10,5,12,0.00285109564091185,0.00224525111924941,0.0682954200691882,0.0723235058900951,0.124559312496641,0.169836398119091,-0.356495893374653,-0.0374658722657026,-0.0234632733513823,0.0795246861452804,1689.67124706779
4,6,9,10,0.00232432620875843,0.00135696222717146,0.056784424527721,0.066394209052055,-0.126613773202015,-0.246620496043512,-0.232331171214242,-0.0494880894947572,-0.0306253516349049,0.105801121341158,724.635307286748
8,10,8,13,0.00279153616549726,0.00179749082618623,0.0358122677873809,0.0587997586606172,0.152643247990871,0.118554192578912,-0.00343116230099549,-0.0310534293091657,-0.038179515055817,0.06213223670548,1387.96695152069
4,8,6,8,0.00244842744081016,0.00244876662826187,0.0511138833835817,0.0606398162560762,-0.0994990199581671,-0.0898236141155691,0.503919853733805,-0.0213300193381127,-0.0438405910389361,0.0924235087633632,404.0991708381
8,7,14,9,0.00253001891697315,0.00157909384821377,0.0529498518334275,0.0763312125784823,0.224948988597965,-0.0977771433576641,-0.406872467759895,-0.015771822312701,0.0379389548321682,0.103579797894662,2133.44417904178
8,10,10,11,0.00295124527675974,0.00234690416952855,0.0705212940060621,0.0563040130447639,0.0133971204519835,0.107634145129818,0.509571376693422,-0.0177556789016124,-0.0372187943186403,0.11926777333366,1471.01454212873
5,8,9,11,0.00270590855362135,0.00221653348159722,0.0473101002422609,0.0340610932098262,-0.168602720773909,0.0674163457824563,-0.641387316915662,0.0521411216417286,-0.0234583606988024,0.0896795018329611,474.132426687758
6,6,9,8,0.00288982191365637,0.00129096728349752,0.0394995111998043,0.0452348758940813,0.0271600102962698,0.0766303305997432,-0.266950495551126,-0.00249278031500597,0.00528763339418066,0.113238249362572,314.16400569134
8,9,11,7,0.00183450600419766,0.00119833207472483,0.0356543580020317,0.0772149884448126,-0.174310432087678,0.0700387155054881,0.404256062604432,0.0225179302041913,-0.0345168484461775,0.0682320322488297,1262.83627203587
5,5,15,5,0.00145865333866867,0.0019144159616781,0.0595195926733671,0.0691436190559354,-0.0459969796082608,-0.177146929035692,-0.721251679895527,0.0204119887083136,-0.0369521986634032,0.116812009487473,655.221149324474
5,5,5,7,0.00198069144054433,0.00106236043629057,0.0382972290140808,0.0362032948969173,0.241575652108492,0.228447026620645,-1.21289417497958,0.02304947679004,0.0229261244309457,0.0714541693315121,121.222019030763
4,5,7,5,0.0022397819431696,0.00171611238983602,0.0742706142479537,0.0713440741172234,-0.0161682412214428,-0.0593473379227866,0.837463477232798,-0.0440590107471164,-0.00115916818988078,0.101176904358342,458.764147743078
5,8,10,13,0.00194635928301385,0.00175578083390319,0.068170048534082,0.0532825957559168,0.225133368043154,0.00919304247219965,-0.141274433708778,0.0524277604758189,0.0580761538830493,0.0647399323601058,1457.08820616514
8,8,14,6,0.00218729898146523,0.00132084212868174,0.0523691488737803,0.0350270465641185,-0.202441914848712,0.0620551768554964,0.0156467083506153,-0.0345842942094317,-0.0563173312287667,0.0993750319520458,239.573372215963
